gene,SHAP_LR,SHAP_LGBM,SHAP_XGB,auc_weighted_score
ENSG00000031003,0.032638866494125195,0.186739991143779,0.12089202,0.18247681101574756
ENSG00000156599,0.11784852006004974,0.050280657573168755,0.028881434,0.17836755442245356
ENSG00000151687,0.12324123328180167,0.05178702035025188,0.017554298,0.1780131053316688
ENSG00000165949,0.05571237403692796,0.17569695872344476,0.074675396,0.17640347545654553
ENSG00000139626,0.07736967250289623,0.09048393524969614,0.062263384,0.16511110997334394
ENSG00000072062,0.0560501439798151,0.17433341065621524,0.057043996,0.1648515811142532
ENSG00000137076,0.0,0.24296832075902983,0.120926,0.16246835818211885
ENSG00000214026,0.09253054779217158,0.03826556466295954,0.057010002,0.16200460896751132
ENSG00000152270,0.09101869146582761,0.014549023396002857,0.067891836,0.1591048893487336
ENSG00000132603,0.07654707888100706,0.0,0.095289215,0.1544834944704551
ENSG00000001036,0.08299923062411925,0.026068242142419432,0.0679421,0.15342538700330813
ENSG00000249307,0.024858805907865027,0.19121523803441523,0.08564216,0.151656356201923
ENSG00000169251,0.12053845186062526,0.012881302787650274,0.0,0.14991457678182188
ENSG00000102781,0.09088562478882699,0.027388997589851874,0.04389887,0.14772985372669006
ENSG00000158457,0.0348575233794673,0.25189000921327054,0.025989076,0.14574184413444097
ENSG00000174917,0.06265977456048553,0.01784028930049307,0.09733001,0.14519580799024834
ENSG00000133104,0.11638210124750421,0.006631959366282144,0.0,0.14274634735439554
ENSG00000120837,0.0752064365418416,0.03940803899717146,0.058919083,0.14273347293797636
ENSG00000136878,0.11095501317960417,0.0,0.009910818,0.14037138360017892
ENSG00000183722,0.05711315275031372,0.1705678853100896,0.019300215,0.1402410600095914
ENSG00000138735,0.0,0.16014600513359825,0.12687176,0.13782419094952514
ENSG00000074964,0.04705111887070731,0.12979465261241627,0.053518187,0.13635646794444053
ENSG00000116675,0.11226793054653558,0.0,0.0,0.13549727592750252
ENSG00000100079,0.07950053304473183,0.007464563576480761,0.055862304,0.13492465445073865
ENSG00000204525,0.10838207586180573,0.010129480593513325,0.0,0.13429536835598574
ENSG00000162402,0.0930393937042236,0.0,0.028765226,0.13103588384479897
ENSG00000015475,0.0154659629784147,0.1290445074269782,0.104231045,0.13102627471113276
ENSG00000103175,0.08172883527279659,0.009866885218298368,0.04381204,0.13058831343183033
ENSG00000053770,0.1058991685870658,0.0,0.0,0.12781075411902257
ENSG00000149932,0.10264953161664371,0.009377100945900692,0.0,0.12711763081517655
ENSG00000167470,0.10519381608582386,0.0,0.0,0.12695945720794857
ENSG00000157764,0.1040161772502854,0.004049954776707539,0.0,0.12693270809443485
ENSG00000143369,0.0,0.16435690487490962,0.10396125,0.1243438463004037
ENSG00000173992,0.07874974385784336,0.0203489656003816,0.032708295,0.1233661135136573
ENSG00000163947,0.10219805527853876,0.0,0.0,0.12334384385566316
ENSG00000198502,0.0906389729575264,0.008003222506747626,0.012085475,0.120024750446527
ENSG00000117009,0.08273712171246879,0.017964968643103787,0.016353719,0.11669966808348521
ENSG00000136807,0.06805983905834484,0.023269244524405805,0.040506426,0.11655181069454672
ENSG00000174788,0.08043299618764267,0.0,0.029266749,0.11614793087184205
ENSG00000132386,0.08575635328630202,0.005757180151931969,0.015572855,0.11563112561600239
ENSG00000253409,0.045782646065324666,0.15103958190877959,0.010002109,0.11378242632822376
ENSG00000070413,0.09367710634370796,0.0018773860445228186,0.0,0.11370628235690007
ENSG00000215305,0.09240799545433666,0.004439597879432811,0.0,0.11305684772991656
ENSG00000196449,0.09253523230397666,0.0,0.0,0.11168168722331885
ENSG00000115457,0.03643934838417319,0.04774029935847255,0.07704496,0.11062647562500917
ENSG00000069535,0.030335519655822683,0.047904481485072974,0.08580311,0.10902375051095894
ENSG00000175471,5.548009790377744e-05,0.14437478447462287,0.08948365,0.10809543286853499
ENSG00000213341,0.08613366470457903,0.005079677657201811,0.0,0.10570469991303759
